Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
51709270374,"[HOT HOT HOT] Giấy ăn rút Topgia đa sắc cao cấp 240 tờ 4 lớp, dập vân 4D, mềm mịn, thấm hút tốt","189,0k",15,Gia dụng Sumo 12,28%,₫52.920,https://shopee.vn/product/1771676354/51709270374,https://s.shopee.vn/3g1PfoI8Rq
26671193851,"🔥🔥Quạt Tích Điện Pin 10-15 Cell Dùng Liên Tục 4-8H, Quạt Makita Để Bàn 2 Cấp Độ Gió Siêu Mát","151,6k",7k+,Phụ kiện xe đạp Lạc Viên,12%,₫18.190,https://shopee.vn/product/1250987073/26671193851,https://s.shopee.vn/3qKps7HV6t
29881593811,[Bảo hành tại địa phương] Quạt gấp 3 trong 1 GOOJODOQ 180° 100 cấp độ gió siêu mạnh di động,"269,0k",60k+,GoojodoqMall.VN,14%,₫37.660,https://shopee.vn/product/958778013/29881593811,https://s.shopee.vn/1LdUtWR1BQ
44502217924,Đèn năng lượng mặt trời mới năm 2026 có 120 viên LED lớn chống nước dùng ngoài trời và gia đình đèn vườn siêu sáng,"467,0k",5k+,A dong solarlight,15%,₫70.047,https://shopee.vn/product/1655290565/44502217924,https://s.shopee.vn/1Vwv5pQNqT
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","100,0k",1tr+,TopGia HCM Store,13%,₫13.000,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/1gGLI8PkVW
26259736683,"Hộp Cơm Giữ Nhiệt 3–4 Tầng Kèm Túi – Hộp Cơm Văn Phòng Quay Được Lò Vi Sóng, Tặng Bộ Đũa Thìa","199,0k",200k+,HOMED_HOUSE,13%,₫25.870,https://shopee.vn/product/1087699471/26259736683,https://s.shopee.vn/1qZlURP7AZ
42874449161,"Quạt Cầm Tay Mini T10 Siêu Mát, Với 3 Tốc Độ Gió Làm Giá Đỡ Điện Thoại Lại Pin Khủng Có Thể Sạc Nhiều Màu Sắc","39,0k",10k+,COURT NATURE STORE,29%,₫11.310,https://shopee.vn/product/1632480189/42874449161,https://s.shopee.vn/20tBgkOTpc
26980417652,Bóng Đèn LED Tích Điện Công Suất 100W Chống Nước - Đèn LED Có Móc Treo Tiện Lợi (DIDOOGLT),"48,0k",30k+,Didooglt Official HCM,7%,₫3.360,https://shopee.vn/product/1109535898/26980417652,https://s.shopee.vn/2BCbt3NqUf
27371196338,Combo 12 Bịch Giấy Vệ Sinh Treo Tường TopGia Thùng 12 Bịch Đa Sắc Treo Đa Năng Từ Bột Giấy Thiên Nhiên,"179,0k",592,Bách Hóa HANA 24h,16%,₫28.640,https://shopee.vn/product/1167558269/27371196338,https://s.shopee.vn/2LW25MND9i
19487587692,"Quạt chạy p𝒊n Makita 8 inch, có 2 cấp độ gió, Có Quay và Không Quay, chân p𝒊n phổ thông 4cm","229,0k",4k+,MegaStoreVn,12%,₫27.480,https://shopee.vn/product/997508774/19487587692,https://s.shopee.vn/2VpSHfMZol
53304499944,(Tặng Remote) Gậy chụp ảnh Selfie 4 chân A14 1M8 điều khiển từ xa có phân loại đèn trợ sáng Tripod chụp ảnh SPO1,"155,0k",30k+,SELFIE HATEK,16%,₫24.800,https://shopee.vn/product/1687369570/53304499944,https://s.shopee.vn/187J4W5tI
23048465072,Máy rửa xe Cầm Tay  2 Pin 10 Cell 199V - Máy xịt rửa sân vườn xịt rửa cao áp có tạo bọt tuyết.,"399,0k",200k+,Dongda.HN,14%,₫55.860,https://shopee.vn/product/720367585/23048465072,https://s.shopee.vn/BRXVNVSYL
18486461443,Nước giặt xả Top Gia hương hoa nắng  dịu nhẹ túi 1L giúp làm sạch khuẩn sạch bẩn lưu hương 72H,"99,0k",50k+,TopGia Official,13%,₫12.870,https://shopee.vn/product/550942423/18486461443,https://s.shopee.vn/LkxhgUpDO
